brain_code	main	species	"全称(L.W.Swanson, 2004)"	简称	"同义词全称(Paxinos & Watson, 2007 )"	同义词简称	其他同义词	简称
R127	anterodorsal nucleus thalamus	Rat	anterodorsal nucleus thalamus	AD	anterodorsal thalamic nucleus	AD		
R128	Barrington's nucleus	Rat	Barrington's nucleus	B	Barrington’s nucleus	Bar		
R129	caudoputamen	Rat	caudoputamen	CP	caudate putamen (striatum)	CPu		
R130	central medial nucleus thalamus	Rat	central medial nucleus thalamus	CM	central medial thalamic nucleus	CM		
R131	"cerebral aqueduct, general"	Rat	"cerebral aqueduct, general"	AQg	aqueduct	Aq		
R131.1	cerebral aqueduct proper	Rat	cerebral aqueduct proper	AQ				
R132	dentate gyrus	Rat	dentate gyrus	DG	dentate gyrus	DG		
R133	dorsal cochlear nucleus	Rat	dorsal cochlear nucleus	DCO	dorsal cochlear nucleus	DC		
R134	dorsal hippocampal commissure	Rat	dorsal hippocampal commissure	dhc	dorsal hippocampal commissure	dhc		
R135	dorsal premammillary nucleus	Rat	dorsal premammillary nucleus	PMd	"premammillary nucleus, dorsal part"	PMD		
R136	Endopiriform nucleus	Rat	Endopiriform nucleus	EP	retroendopiriform nucleus	REn		
R136.1	"endopiriform nucleus, dorsal part"	Rat	"endopiriform nucleus, dorsal part"	EPd	dorsal endopiriform nucleus	DEn		
R137	entorhinal area	Rat	entorhinal area	ENT	entorhinal cortex	Ent		
R138	Ammon’s horn	Rat	Ammon’s horn	CA			hippocampus major	
R138.1	field CA1 of Ammon’s horn	Rat	field CA1 of Ammon’s horn	CA1	field CA1 of the hippocampus	CA1		
R138.2	field CA2of Ammon’s horn	Rat	field CA2of Ammon’s horn	CA1	field CA2 of the hippocampus	CA1		
R138.3	field CA3 of Ammon’s horn	Rat	field CA3 of Ammon’s horn	CA3	CA3 field of hippocampus	CA3		
R139	hippocampal region	Rat	hippocampal region	HIP				
R140	infralimbic area	Rat	infralimbic area	ILA	infralimbic cortex	IL		
R142	interfascicular nucleus raphé	Rat	interfascicular nucleus raphé	IF	interfascicular nucleus	IF		
R144	lateral dorsal nucleus thalamus	Rat	lateral dorsal nucleus thalamus	LD	laterodorsal thalamic nucleus	LD		
R144.1	laterodorsal thalamic nucleus， dorsomedial part	Rat			laterodorsal thalamic nucleus， dorsomedial part	LDDM		
R145	lateral habenula	Rat	lateral habenula	LH	lateral habenular nucleus	LHb		
R145.1	"lateral habenular nucleus, medial part"	Rat			"lateral habenular nucleus, medial part"	LHbM		
R146	lateral preoptic area	Rat	lateral preoptic area	LPO	lateral preoptic area	LPO		
R147	lateral septal nucleus	Rat	lateral septal nucleus	LS	lateral septal nucleus	LS		
R147.1	"lateral septal nucleus, caudal part, ventral zone, intermediate region"	Rat	"lateral septal nucleus, caudal part, ventral zone, intermediate region"	LSc.v.i				
R147.2	"lateral septal nucleus, ventral part"	Rat	"lateral septal nucleus, ventral part"	LSv	"lateral septal nucleus, ventral part"	LSV	septohypothalamic nucleus	
R149	medial geniculate complex	Rat	medial geniculate complex	MG	medial geniculate nucleus	MG		
R149.1	"medial geniculate complex, dorsal part"	Rat	"medial geniculate complex, dorsal part"	MGd	"medial geniculate nucleus, dorsal part"	MGD		
R149.2	"medial geniculate complex, medial part"	Rat	"medial geniculate complex, medial part"	MGm	"medial geniculate nucleus, medial part"	MGM		
R149.3	"medial geniculate complex, ventral part"	Rat	"medial geniculate complex, ventral part"	MGv	"medial geniculate nucleus, ventral part"	MGV		
R150	medial preoptic area	Rat	medial preoptic area	MPO	medial preoptic area	MPA		
R151	medial septal nucleus	Rat	medial septal nucleus	MS	medial septal nucleus	MS		
R152	mediodorsal nucleus	Rat	mediodorsal nucleus	MnR				
R153	peripeduncular nucleus	Rat	peripeduncular nucleus	PP	peripeduncular nucleus	PP		
R154	perirhinal area	Rat	perirhinal area	PERI	perirhinal cortex	PRh		
R155	piriform area	Rat	piriform area	PIR	piriform cortex	Pir		
R157	posterior commissure	Rat	posterior commissure	pc	posterior commissure	pc		
R158	prelimbic area	Rat	prelimbic area	PL	prelimbic cortex	PrL		
R159	premammillary nucleus	Rat	premammillary nucleus	PM	premammillary nucleus	PM		
R160	primary visual area	Rat	primary visual area	VISp	primary visual cortex	V1		
R161	retrosplenial area	Rat	retrosplenial area	RSP				
R162	septohippocampal nucleus	Rat	septohippocampal nucleus	SH	septohippocampal nucleus	Shi		
R163	substantia innominata	Rat	substantia innominata	SI	ventral pallidum	VP		
R164	supramammillary decussation	Rat	supramammillary decussation	smd	supramammillary decussation	sumx		
R165	tuberal nucleus	Rat	tuberal nucleus	TU	tuberal nucleus	TU		
R166	anteroventral nucleus thalamus	Rat	anteroventral nucleus thalamus	AV	anteroventral thalamic nucleus	AV		
R167	anteroventral periventricular nucleus hypothalamus	Rat	anteroventral periventricular nucleus hypothalamus	AVPV	anteroventral periventricular nucleus	AVPe		
R168	arcuate hypothalamic nucleus	Rat	arcuate hypothalamic nucleus	ARH	arcuate hypothalamic nucleus	Arc	Arcuate nucleus	
R169	auditory areas	Rat	auditory areas	AUD	primary auditory cortex	Au1		
R170	cochlear nuclei	Rat	cochlear nuclei	CN				
R171	hypothalamus	Rat	hypothalamus	His	subthalamic nucleus	STh		
R172	median eminence	Rat	median eminence	ME	median eminence	ME		
R173	median preoptic nucleus	Rat	median preoptic nucleus	MEPO	median preoptic nucleus	MnPO		
R174	nucleus of the lateral lemniscus	Rat	nucleus of the lateral lemniscus	NLL	lateral lemniscus	ll		
R175	paratenial nucleus	Rat	paratenial nucleus	PT	paratenial thalamic nucleus	PT		
R176	pedunculopontine nucleus	Rat	pedunculopontine nucleus	PPN	pedunculopontine tegmental nucleus	PTg		
R177	preoptic periventricular nucleus	Rat	preoptic periventricular nucleus	PVpo				
R178	septal region	Rat	septal region	SEP				
R179	superior olivary complex	Rat	superior olivary complex	SOC	medial superior olive	MSO		
R180	suprachiasmatic nucleus	Rat	suprachiasmatic nucleus	SCH	suprachiasmatic nucleus	SCh		
R181	ventral medial nucleus thalamus	Rat	ventral medial nucleus thalamus	VM				
R182	dorsal tegmental nucleus	Rat	dorsal tegmental nucleus	DTN	"dorsal tegmental nucleus, central part"	DTgC		
R183	tuberal nucleus	Rat	tuberal nucleus	TU	medial tuberal nucleus	MTu		
R184	accessory olfactory bulb	Rat	accessory olfactory bulb	AOB	accessory olfactory bulb	AOB		
R184.1	"accessory olfactory bulb, granule cell layer"	Rat	"accessory olfactory bulb, granule cell layer"	AOBgr	granule cell layer of the accessory olfactory bulb	GrA		
R184.2	"accessory olfactory bulb, mitral layer"	Rat	"accessory olfactory bulb, mitral layer"	AOBmi	mitral cell layer of the accessory olfactory bulb	MiA		
R185	bed nucleus of the accessory olfactory tract	Rat	bed nucleus of the accessory olfactory tract	BA	bed nucleus of the accessory olfactory tract	BAOT		
R186	medial preoptic nucleus	Rat	medial preoptic nucleus	MPN	medial preoptic nucleus	MPO		
R187	midbrain reticular nucleus	Rat	midbrain reticular nucleus	MRN				
R188	posterodorsal preoptic nucleus	Rat	posterodorsal preoptic nucleus	PD	posterodorsal preoptic nucleus	PDPO		
R189	central tegmental bundle	Rat	central tegmental bundle	ctb			Central tegmental field	
R190	anterodorsal preoptic nucleus	Rat	anterodorsal preoptic nucleus	ADP			ADPO	
R191	septohypothalamic nucleus	Rat	septohypothalamic nucleus	SHy			Shy	
R192	reticular nucleus thalamus	Rat	reticular nucleus thalamus	RT	reticular thalamic nucleus	Rt	thalamic reticular nucleus	
R193	stria medullaris	Rat	stria medullaris	sm	nucleus of the stria medullaris	SM		
